TRADING_DATE,A B B,Amara Raja Batt.,Atul,Bajaj Electrical,Bata India,Blue Star,Disa India,Exide Inds.,CRISIL,CG Power & Indu.,Wyeth,Dabur India,Titan Company,Dr Reddy's Labs,Merck,Finolex Cables,Godfrey Phillips,Kansai Nerolac,Goodyear India,GHCL
4/20/2016,1313.298805,911.6827181,1773.116191,216.8871625,546.2894618,408.8832103,3923.734995,132.4464118,2068.179489,58.9,,258.578412,371.1800681,3043.86463,662.5838122,283.6749916,1150.821312,297.3589332,482.0321655,128.94016
4/21/2016,1322.74092,916.9642584,1750.519925,216.3448213,536.214854,411.3511196,3828.874371,132.8332578,1982.750088,59.85,,258.578412,365.9284548,3065.001219,659.6713559,278.7679687,1128.900906,293.7916034,487.3742991,127.5216764
4/22/2016,1327.01472,914.8417703,1732.808004,216.3448213,548.6975387,422.900935,3839.358966,138.5875926,1949.644994,58.05,,256.5492092,367.0184123,3068.768621,661.6346635,276.461668,1136.729623,289.4912605,488.1374611,129.2711395
4/25/2016,1337.99739,916.7668177,1731.722594,217.8239336,549.188983,426.8495899,3869.314953,139.1678617,1905.344709,59.25,,257.8053824,370.0901107,3052.671542,653.5360196,275.8728252,1105.12118,284.0669645,484.0354656,126.1504756
4/26/2016,1285.071851,937.7942588,1762.212753,216.8871625,555.2828921,428.7745591,3861.825956,142.7945433,1912.407769,59.9,,257.5638106,368.5047179,3052.916178,661.38925,275.1367718,911.3115196,286.314871,490.7131327,130.0276641
4/27/2016,1269.318427,927.8728605,1801.830224,229.1637943,552.8748151,429.5642901,3953.191716,144.4869947,1910.293656,59.35,,263.0716468,368.3065439,3062.897346,664.3342114,276.0691061,924.2778312,289.442393,493.7657805,127.6635248
4/28/2016,1259.776922,925.651652,1807.701306,222.5077891,544.7168401,418.2612656,4016.099288,141.9241397,1902.153063,58.05,,260.3177287,365.8789113,3020.232748,662.6163173,281.3686908,888.7550305,285.4352554,491.0947136,123.6917707
4/29/2016,1283.730077,941.4962731,1774.793643,225.6139249,576.0218407,420.3836676,3954.190249,142.2142742,1893.530778,57.7,,266.260394,352.1553556,3027.914333,654.7630869,278.6698282,885.7214029,279.620019,481.459794,124.4482953
5/2/2016,1259.776922,945.1489272,1700.245699,227.7832895,570.0753649,414.0164616,4019.094886,138.8777272,1921.998769,57.05,,285.8760209,363.2035611,2947.477866,657.4626348,276.9033,878.8223465,285.2397852,478.8841225,124.4010125
5/3/2016,1231.549967,944.1123632,1806.911917,226.156266,559.8533239,417.7676837,3890.78341,139.4096405,1923.540183,56.85,,280.3681848,357.9519477,2904.568632,657.2172214,276.5107382,862.1373947,283.382819,477.6916819,128.6564633
5/4/2016,1221.511508,931.7723156,1772.968181,224.3813313,552.2359376,415.4972072,3864.821555,134.767488,1930.861899,56.85,,272.6378885,356.7629032,2869.92811,655.9901541,273.7628054,863.0670548,286.8524138,473.1604079,127.2379797
5/5/2016,1229.71124,919.2348272,1849.736282,222.8529153,562.3596897,408.7351358,3847.347229,137.13692,1917.278188,59.2,,273.265975,356.1188374,2868.166727,657.2172214,268.6595016,821.6237873,288.1229696,475.3068008,128.4673322
5/6/2016,1232.891742,928.761344,1870.408412,229.8540467,564.8660556,408.1921957,3834.366302,139.9415538,1928.164425,58.65,,278.6288681,360.7759285,2806.665123,656.480981,270.033468,790.3578511,287.6342943,475.783777,127.5689592
5/9/2016,1242.135075,935.0794483,1900.454539,231.333159,585.9490152,419.1497129,3954.190249,142.1659185,1936.931217,59.7,,277.9041528,362.2622342,2781.027222,656.9718079,274.3025779,843.2506163,288.611645,479.8380749,133.0537625
